order,AIC,BIC,Validation_MAE,Validation_RMSE,status
"(1, 0, 0)",2624.7336431906606,2635.743285959602,16.96577194618483,23.44262735205083,ok
"(2, 0, 0)",2587.8824960373368,2602.5620197292587,16.9116049840659,24.155317224371714,ok
"(1, 1, 1)",2571.9164264801807,2582.915706544518,26.757444564240046,32.473423424871925,ok
"(2, 1, 1)",2571.911372451771,2586.577079204221,26.204916080885045,31.80447670850824,ok
