order,AIC,BIC,Validation_MAE,Validation_RMSE,status
"(1, 0, 0)",2502.2489749998076,2513.258617768749,17.706681156785343,21.538523590848005,ok
"(2, 0, 0)",2445.155706399692,2459.835230091614,19.182508489988432,22.754038217579435,ok
"(1, 1, 1)",2423.589076964893,2434.5883570292303,26.47051908549113,30.007896140321407,ok
"(2, 1, 1)",2424.934947022352,2439.6006537748017,26.25158257438559,29.837352021918143,ok
