Dataset,Model,MAE,RMSE
Chicago,"ARIMA(1, 0, 0)",25.669699798706542,40.910815164504065
Chicago,AR(4),25.963150056316096,41.15940363265308
Chicago,Naive,26.0,40.779897008207364
