Dataset,Model,MAE,RMSE
Chicago,"ARIMA(1, 0, 0)",25.669699798706542,40.910815164504065
Chicago,AR(4),25.963150056316096,41.15940363265308
Chicago,Naive,26.0,40.779897008207364
NYPD,AR(4),37.69560376808086,64.06386425626589
NYPD,"ARIMA(2, 0, 0)",42.99622947505435,65.01743713048413
NYPD,Naive,72.0,78.04058773057346
