Dataset,Model,MAE,RMSE
NYPD,AR(4),37.69560376808086,64.06386425626589
NYPD,"ARIMA(2, 0, 0)",42.99622947505435,65.01743713048413
NYPD,Naive,72.0,78.04058773057346
